marketing_season,season,crop,commodity,variety,msp,unit,effective_date,source
2024-25,KMS,Bajra,Bajra,FAQ,2625.0,INR/quintal,2024-06-19,CACP (embedded reference)
2024-25,RMS,Barley,Barley,FAQ,1735.0,INR/quintal,2023-10-18,CACP (embedded reference)
2024-25,KMS,Cotton (Long Staple),Cotton,Long Staple,7521.0,INR/quintal,2024-06-19,CACP (embedded reference)
2024-25,KMS,Cotton (Medium Staple),Cotton,Medium Staple,7121.0,INR/quintal,2024-06-19,CACP (embedded reference)
2024-25,RMS,Gram,Gram,FAQ,5440.0,INR/quintal,2023-10-18,CACP (embedded reference)
2024-25,KMS,Groundnut,Groundnut,FAQ,6783.0,INR/quintal,2024-06-19,CACP (embedded reference)
2024-25,KMS,Jowar (Hybrid),Jowar,Hybrid,3371.0,INR/quintal,2024-06-19,CACP (embedded reference)
2024-25,KMS,Jowar (Maldandi),Jowar,Maldandi,3421.0,INR/quintal,2024-06-19,CACP (embedded reference)
2024-25,KMS,Maize,Maize,FAQ,2225.0,INR/quintal,2024-06-19,CACP (embedded reference)
2024-25,RMS,Masur (Lentil),Masur,FAQ,6425.0,INR/quintal,2023-10-18,CACP (embedded reference)
2024-25,KMS,Moong,Moong,FAQ,8682.0,INR/quintal,2024-06-19,CACP (embedded reference)
2024-25,KMS,Nigerseed,Nigerseed,FAQ,8717.0,INR/quintal,2024-06-19,CACP (embedded reference)
2024-25,KMS,Paddy (Common),Paddy,Common,2300.0,INR/quintal,2024-06-19,CACP (embedded reference)
2024-25,KMS,Paddy (Grade A),Paddy,Grade A,2320.0,INR/quintal,2024-06-19,CACP (embedded reference)
2024-25,KMS,Ragi,Ragi,FAQ,4290.0,INR/quintal,2024-06-19,CACP (embedded reference)
2024-25,RMS,Rapeseed/Mustard,Mustard,FAQ,5650.0,INR/quintal,2023-10-18,CACP (embedded reference)
2024-25,RMS,Safflower,Safflower,FAQ,5800.0,INR/quintal,2023-10-18,CACP (embedded reference)
2024-25,KMS,Sesamum,Sesamum,FAQ,9267.0,INR/quintal,2024-06-19,CACP (embedded reference)
2024-25,KMS,Soyabean (Yellow),Soyabean,Yellow,4892.0,INR/quintal,2024-06-19,CACP (embedded reference)
2024-25,KMS,Sunflower Seed,Sunflower,FAQ,7280.0,INR/quintal,2024-06-19,CACP (embedded reference)
2024-25,KMS,Tur (Arhar),Tur,FAQ,7550.0,INR/quintal,2024-06-19,CACP (embedded reference)
2024-25,KMS,Urad,Urad,FAQ,7400.0,INR/quintal,2024-06-19,CACP (embedded reference)
2024-25,RMS,Wheat,Wheat,FAQ,2275.0,INR/quintal,2023-10-18,CACP (embedded reference)
2025-26,KMS,Bajra,Bajra,FAQ,2735.0,INR/quintal,2025-06-25,CACP (embedded reference)
2025-26,RMS,Barley,Barley,FAQ,1980.0,INR/quintal,2024-10-16,CACP (embedded reference)
